ID,DATEPRD,WELL_BORE_CODE,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,NPD_FIELD_CODE,NPD_FIELD_NAME,NPD_FACILITY_CODE,NPD_FACILITY_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,FLOW_KIND,WELL_TYPE
22,21-Aug-15,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,M®RSK INSPIRER,24,221.183,105.938,180.841,15.236,24.25881,%,40.342,76.12,11.804,production,OP
23,21-Aug-15,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,M®RSK INSPIRER,24,0,0,29.427,19.423,100,%,29.427,80.31,0.78,production,OP
24,21-Aug-15,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M®RSK INSPIRER,24,266.809,99.448,236.558,15.187,100,%,30.251,87.023,1.761,production,OP
25,21-Aug-15,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,M®RSK INSPIRER,24,232.12,106.484,182.534,28.383,9.28719,%,49.587,43.794,20.922,production,OP
26,22-Aug-15,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,M®RSK INSPIRER,0,284.682,100.876,284.682,,19.4138,%,0,16.739,0,production,OP
27,22-Aug-15,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,M®RSK INSPIRER,24,221.172,105.941,180.881,15.105,24.2313,%,40.291,76.305,11.744,production,OP
28,22-Aug-15,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,M®RSK INSPIRER,24,0,0,29.405,19.493,100,%,29.405,80.504,0.741,production,OP
29,22-Aug-15,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M®RSK INSPIRER,24,266.808,99.453,236.574,15.249,100,%,30.234,87.118,1.732,production,OP
30,22-Aug-15,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,M®RSK INSPIRER,24,229.892,106.46,180.892,28.488,9.24765,%,49,44.651,20.341,production,OP
31,23-Aug-15,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,M®RSK INSPIRER,0,286.53,100.812,286.53,,0.49005,%,0,17.806,0,production,OP
32,23-Aug-15,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,M®RSK INSPIRER,24,221.117,105.945,180.904,14.904,24.70406,%,40.213,76.833,11.687,production,OP
33,23-Aug-15,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,M®RSK INSPIRER,24,0,0,29.467,19.449,100,%,29.467,79.826,0.801,production,OP
34,23-Aug-15,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M®RSK INSPIRER,24,266.576,99.445,236.361,15.168,100,%,30.215,87.065,1.735,production,OP
35,23-Aug-15,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,M®RSK INSPIRER,24,227.944,106.443,179.485,27.997,9.41607,%,48.459,41.974,19.786,production,OP
36,24-Aug-15,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,M®RSK INSPIRER,0,288.069,100.757,288.069,,0.46119,%,0,17.93,0,production,OP
37,24-Aug-15,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,M®RSK INSPIRER,24,220.998,105.942,180.905,14.757,24.69037,%,40.093,77.279,11.551,production,OP
38,24-Aug-15,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,M®RSK INSPIRER,24,0,0,29.432,19.39,100,%,29.432,79.2,0.747,production,OP
39,24-Aug-15,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M®RSK INSPIRER,24,266.357,99.429,236.168,15.103,100,%,30.189,87.968,1.692,production,OP
40,24-Aug-15,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,M®RSK INSPIRER,24,226.269,106.427,178.477,27.165,9.40596,%,47.792,42.863,19.118,production,OP
41,25-Aug-15,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,M®RSK INSPIRER,0,289.661,100.706,283.833,,9.51871,%,5.828,26.043,1.009,production,OP
42,25-Aug-15,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,M®RSK INSPIRER,24,220.886,105.932,180.924,14.552,24.73742,%,39.961,77.261,11.406,production,OP
43,25-Aug-15,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,M®RSK INSPIRER,24,0,0,29.322,19.441,100,%,29.322,80.491,0.625,production,OP
44,25-Aug-15,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M®RSK INSPIRER,24,266.452,99.437,236.213,15.227,100,%,30.239,87.834,1.729,production,OP
45,25-Aug-15,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,M®RSK INSPIRER,24,224.518,106.418,177.557,27.272,9.41023,%,46.961,46.4,18.276,production,OP
46,26-Aug-15,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,M®RSK INSPIRER,0,291.142,100.659,286.348,,19.52653,%,4.794,28.181,0.23,production,OP
47,26-Aug-15,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,M®RSK INSPIRER,14.28,221.389,105.925,181.603,0.387,15.65121,%,39.786,75.914,11.231,production,OP
48,26-Aug-15,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,M®RSK INSPIRER,13.61,0,0,29.61,0.485,56.38641,%,29.61,79.625,0.908,production,OP
49,26-Aug-15,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M®RSK INSPIRER,15.15,267.04,99.438,236.834,1.946,61.81982,%,30.206,87.087,1.947,production,OP
50,26-Aug-15,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,M®RSK INSPIRER,13.53,224.53,106.387,177.573,3.422,6.42166,%,46.957,44.375,18.309,production,OP
51,27-Aug-15,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,M®RSK INSPIRER,0,292.638,100.614,292.635,,0.11849,%,0.002,14.91,0.044,production,OP
52,27-Aug-15,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,M®RSK INSPIRER,0,294.766,104.391,294.753,0,1.072,%,0.013,18.302,0.013,production,OP
53,27-Aug-15,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,M®RSK INSPIRER,0,0,0,1.282,0,0.14047,%,1.282,17.06,1.237,production,OP
54,27-Aug-15,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M®RSK INSPIRER,0,294.847,98.627,294.52,0,1.29149,%,0.327,18.236,0.295,production,OP
55,27-Aug-15,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,M®RSK INSPIRER,0,262.657,103.854,262.644,0,1.04001,%,0.013,15.702,0.01,production,OP
56,28-Aug-15,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,M®RSK INSPIRER,0,293.821,100.571,293.8,,0.10666,%,0.021,14.047,0.021,production,OP
57,28-Aug-15,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,M®RSK INSPIRER,0,301.085,103.988,300.989,0,0.86188,%,0.097,14.376,0.097,production,OP
58,28-Aug-15,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,M®RSK INSPIRER,0,0,0,1.265,0,0.13806,%,1.265,14.018,1.258,production,OP
59,28-Aug-15,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M®RSK INSPIRER,0,294.124,98.415,293.89,0,1.28488,%,0.234,14.47,0.234,production,OP
60,28-Aug-15,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,M®RSK INSPIRER,0,269.012,103.278,268.965,0,0.99688,%,0.047,14.52,0.047,production,OP
61,29-Aug-15,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,M®RSK INSPIRER,0,281.83,95.876,281.786,,0.09115,%,0.044,14.692,0.044,production,OP
62,29-Aug-15,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,M®RSK INSPIRER,0,290.788,98.93,290.605,0,0.84544,%,0.183,14.749,0.183,production,OP
63,29-Aug-15,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,M®RSK INSPIRER,0,0,0,1.272,0,0.12714,%,1.272,14.511,1.272,production,OP
64,29-Aug-15,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M®RSK INSPIRER,0,218.191,73.269,218.025,0,1.2714,%,0.166,14.834,0.166,production,OP
65,29-Aug-15,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,M®RSK INSPIRER,0,259.75,98.371,259.675,0,0.96681,%,0.075,14.95,0.075,production,OP
66,30-Aug-15,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,M®RSK INSPIRER,0,295.939,100.494,295.885,,0.09078,%,0.054,14.517,0.054,production,OP
67,30-Aug-15,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,M®RSK INSPIRER,0,307.47,103.625,307.246,0,0.87444,%,0.224,14.745,0.222,production,OP
68,30-Aug-15,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,M®RSK INSPIRER,0,0,0,2.907,0,0.59861,%,2.907,14.493,2.787,production,OP
69,30-Aug-15,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M®RSK INSPIRER,0,0,0,0.148,0,1.24868,%,0.148,14.917,0.046,production,OP
70,30-Aug-15,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,M®RSK INSPIRER,0,275.174,102.758,275.087,0,0.81974,%,0.087,15.138,0.087,production,OP
71,31-Aug-15,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,M®RSK INSPIRER,0,296.511,100.322,296.511,,0.09185,%,0,15.409,14.259,production,OP
72,31-Aug-15,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,M®RSK INSPIRER,17.74,268.23,105.098,199.402,5.049,8.13805,%,68.828,61.488,39.348,production,OP
73,31-Aug-15,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,M®RSK INSPIRER,23.08,0,0,30.516,3.619,89.85743,%,30.516,75.186,1.08,production,OP
74,31-Aug-15,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M®RSK INSPIRER,14.24,273.725,99.328,239.269,1.077,25.52949,%,34.455,76.74,4.689,production,OP
75,31-Aug-15,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,M®RSK INSPIRER,17.41,242.138,105.803,181.413,0.001,6.19732,%,60.725,37.858,31.685,production,OP
76,1-Sep-15,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,M®RSK INSPIRER,0,297.826,100.426,296.761,,0.09107,%,1.065,23.103,27.573,production,OP
77,1-Sep-15,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,M®RSK INSPIRER,24,229.787,105.765,188.516,13.517,25.69489,%,41.271,79.057,12.485,production,OP
78,1-Sep-15,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,M®RSK INSPIRER,24,0,0,29.196,12.343,100,%,29.196,81.453,0.451,production,OP
79,1-Sep-15,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M®RSK INSPIRER,24,267.21,99.504,236.742,10.126,90.28784,%,30.468,87.559,1.665,production,OP
80,1-Sep-15,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,M®RSK INSPIRER,24,231.231,106.431,183.068,11.351,9.01676,%,48.163,47.886,19.704,production,OP
81,2-Sep-15,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,M®RSK INSPIRER,0,298.742,100.368,275.286,,0.08241,%,23.456,21.61,5.366,production,OP
82,2-Sep-15,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,M®RSK INSPIRER,24,222.253,105.9,185.177,13.462,29.5901,%,37.076,79.053,8.091,production,OP
83,2-Sep-15,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,M®RSK INSPIRER,24,0,0,29.453,12.458,100,%,29.453,80.728,0.505,production,OP
84,2-Sep-15,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M®RSK INSPIRER,24,266.859,99.401,236.405,12.524,100,%,30.454,87.488,1.456,production,OP
85,2-Sep-15,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,M®RSK INSPIRER,24,226.436,106.418,179.569,16.197,9.23989,%,46.867,46.103,18.198,production,OP
86,3-Sep-15,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,M®RSK INSPIRER,0,297.712,99.903,204.629,,0.06951,%,93.082,19.64,63.319,production,OP
87,3-Sep-15,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,M®RSK INSPIRER,24,223.319,105.862,184.075,13.367,27.28412,%,39.244,78.594,9.258,production,OP
88,3-Sep-15,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,M®RSK INSPIRER,24,0,0,30.361,12.57,100,%,30.361,80.69,0.371,production,OP
89,3-Sep-15,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M®RSK INSPIRER,24,269.275,99.415,236.812,12.706,93.20938,%,32.463,87.459,2.433,production,OP
90,3-Sep-15,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,M®RSK INSPIRER,24,224.423,106.402,177.828,16.674,9.21174,%,46.595,47.524,16.871,production,OP
91,4-Sep-15,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,M®RSK INSPIRER,16.16,277.589,107.375,244.14,,38.671,%,33.449,58.746,9.028,production,OP
92,4-Sep-15,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,M®RSK INSPIRER,24,231.272,105.719,188.517,13.181,23.21283,%,42.755,75.609,13.388,production,OP
93,4-Sep-15,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,M®RSK INSPIRER,24,0,0,29.8,12.665,100,%,29.8,81.028,0.422,production,OP
94,4-Sep-15,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M®RSK INSPIRER,24,271.566,99.369,237.638,12.376,78.19404,%,33.928,85.09,4.495,production,OP
95,4-Sep-15,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,M®RSK INSPIRER,24,227.221,106.346,179.79,14.16,8.95169,%,47.431,45.314,18.314,production,OP
96,5-Sep-15,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,M®RSK INSPIRER,24,265.459,108.038,231.905,,58.93306,%,33.554,78.656,6.862,production,OP
97,5-Sep-15,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,M®RSK INSPIRER,24,220.366,105.844,182.786,13.239,27.44449,%,37.58,77.824,8.874,production,OP
98,5-Sep-15,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,M®RSK INSPIRER,24,0,0,29.323,12.592,100,%,29.323,80.108,0.612,production,OP
99,5-Sep-15,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M®RSK INSPIRER,24,266.971,99.414,236.69,12.744,98.93662,%,30.281,87.33,1.502,production,OP
100,5-Sep-15,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,M®RSK INSPIRER,24,220.284,106.426,174.844,17.686,9.75361,%,45.439,44.948,16.982,production,OP
101,6-Sep-15,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,M®RSK INSPIRER,24,258.201,108.095,222.722,,55.80774,%,35.48,76.71,8.779,production,OP
102,6-Sep-15,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,M®RSK INSPIRER,24,219.999,105.829,182.543,13.226,27.46599,%,37.456,78.172,8.753,production,OP
103,6-Sep-15,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,M®RSK INSPIRER,24,0,0,29.221,12.638,100,%,29.221,80.663,0.513,production,OP
104,6-Sep-15,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M®RSK INSPIRER,24,267.04,99.393,236.751,12.777,100,%,30.289,87.762,1.525,production,OP
105,6-Sep-15,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,M®RSK INSPIRER,24,220.488,106.402,175.604,16.352,9.7425,%,44.884,44.771,16.434,production,OP
106,7-Sep-15,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,M®RSK INSPIRER,24,253.934,108.097,217.285,,53.85619,%,36.649,73.612,9.977,production,OP
107,7-Sep-15,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,M®RSK INSPIRER,24,219.722,105.822,182.311,13.193,27.4729,%,37.411,78.432,8.723,production,OP
108,7-Sep-15,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,M®RSK INSPIRER,24,0,0,29.149,12.7,100,%,29.149,81.066,0.453,production,OP
109,7-Sep-15,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M®RSK INSPIRER,24,267.024,99.389,236.724,12.822,100,%,30.3,87.992,1.542,production,OP
110,7-Sep-15,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,M®RSK INSPIRER,24,220.022,106.404,175.635,16.223,9.67968,%,44.386,46.138,15.951,production,OP
111,8-Sep-15,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,M®RSK INSPIRER,24,250.729,108.086,214.033,,53.287,%,36.696,71.531,10.044,production,OP
112,8-Sep-15,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,M®RSK INSPIRER,24,219.531,105.818,182.153,13.148,27.49162,%,37.378,78.576,8.69,production,OP
113,8-Sep-15,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,M®RSK INSPIRER,24,0,0,29.107,12.706,100,%,29.107,81.292,0.409,production,OP
114,8-Sep-15,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M®RSK INSPIRER,24,266.984,99.374,236.656,12.866,100,%,30.328,88.173,1.566,production,OP
115,8-Sep-15,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,M®RSK INSPIRER,24,219.552,106.406,175.875,16.242,9.66851,%,43.678,47.043,15.244,production,OP
116,9-Sep-15,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,M®RSK INSPIRER,24,247.68,108.084,211.453,,53.28875,%,36.228,70.847,9.566,production,OP
117,9-Sep-15,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,M®RSK INSPIRER,24,219.584,105.819,182.117,13.206,27.22283,%,37.467,78.565,8.786,production,OP
118,9-Sep-15,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,M®RSK INSPIRER,24,0,0,29.14,12.833,100,%,29.14,81.515,0.445,production,OP
119,9-Sep-15,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M®RSK INSPIRER,24,266.945,99.36,236.614,12.929,100,%,30.331,88.285,1.573,production,OP
120,9-Sep-15,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,M®RSK INSPIRER,24,219.356,106.407,176.556,16.292,9.66923,%,42.8,47.28,14.362,production,OP
121,10-Sep-15,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,M®RSK INSPIRER,24,245.182,108.066,209.838,,53.2937,%,35.344,69.525,8.694,production,OP
122,10-Sep-15,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,M®RSK INSPIRER,24,219.725,105.821,182.091,13.057,26.95543,%,37.634,77.487,8.958,production,OP
123,10-Sep-15,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,M®RSK INSPIRER,24,0,0,29.308,12.74,100,%,29.308,81.172,0.627,production,OP
124,10-Sep-15,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M®RSK INSPIRER,24,266.834,99.361,236.55,12.884,100,%,30.284,87.587,1.534,production,OP
125,10-Sep-15,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,M®RSK INSPIRER,24,219.228,106.406,177.072,16.117,9.65174,%,42.156,43.733,13.726,production,OP
126,11-Sep-15,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,M®RSK INSPIRER,24,243.32,108.032,209.228,,53.26503,%,34.092,67.374,7.436,production,OP
127,11-Sep-15,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,M®RSK INSPIRER,24,219.824,105.82,182.199,12.91,26.97215,%,37.626,76.362,8.93,production,OP
128,11-Sep-15,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,M®RSK INSPIRER,24,0,0,29.435,12.591,100,%,29.435,79.977,0.75,production,OP
129,11-Sep-15,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M®RSK INSPIRER,24,266.7,99.368,236.467,12.787,100,%,30.233,86.028,1.483,production,OP
130,11-Sep-15,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,M®RSK INSPIRER,24,219.17,106.402,177.485,15.795,9.62898,%,41.686,39.83,13.238,production,OP
131,12-Sep-15,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,M®RSK INSPIRER,24,239.657,108.141,205.556,,55.98024,%,34.101,71.443,7.378,production,OP
132,12-Sep-15,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,M®RSK INSPIRER,24,219.829,105.818,182.231,12.774,26.96183,%,37.598,76.213,8.918,production,OP
133,12-Sep-15,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,M®RSK INSPIRER,24,0,0,29.484,12.493,100,%,29.484,79.122,0.811,production,OP
134,12-Sep-15,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M®RSK INSPIRER,24,266.543,99.379,236.328,12.753,100,%,30.214,85.193,1.47,production,OP
135,12-Sep-15,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,M®RSK INSPIRER,24,218.991,106.403,177.84,15.533,9.61219,%,41.151,37.938,12.712,production,OP
